proyecto_codigo,proyecto_tipo,departamento,provincia,municipio
3,1,Santa Cruz,Chiquitos,
5,1,Potosí,Antonio Quijarro,Tomave
6,1,La Paz,Murillo,
7,1,La Paz,Murillo,
9,1,La Paz,Pacajes,Comanche
10,1,La Paz,Murillo,
11,1,Potosí,Charcas,Toro Toro
13,1,Potosí,Nor Chichas,Cotagaita
14,1,Tarija,Burnet O'connor,Entre Ríos
15,1,La Paz,Inquisivi,Colquiri
21,1,Tarija,Méndez,El Puente
23,1,La Paz,Larecaja,Guanay
23,1,La Paz,Sud Yungas,Palos Blancos
23,1,La Paz,Caranavi,Caranavi
24,1,Tarija,Gran Chaco,Caraparí
30,1,Potosí,Sur Lípez,San Pablo de Lipez
30,1,Potosí,Sur Lípez,San Pablo de Lipez
32,1,Oruro,Sajama,Curahuara de Carangas
33,1,La Paz,Abel Iturralde,San Buenaventura
33,1,Beni,José Ballivián,Rurrenabaque
33,1,La Paz,Abel Iturralde,San Buenaventura
33,1,Beni,José Ballivián,Rurrenabaque
33,1,La Paz,Abel Iturralde,San Buenaventura
33,1,Beni,José Ballivián,Rurrenabaque
34,1,Cochabamba,Chapare,Colomi
34,1,Cochabamba,Chapare,Villa Tunari
36,1,Oruro,Poopó,Poopó
36,1,Oruro,Poopó,Antequera
37,1,La Paz,Abel Iturralde,San Buenaventura
39,1,Chuquisaca,Oropeza,
39,1,Potosí,Chayanta,
39,1,Chuquisaca,Oropeza,
39,1,Potosí,Chayanta,
40,1,Oruro,Ladislao Cabrera,Salinas de Garci Mendoza
40,1,Potosí,Daniel Campos,Llica
40,1,Potosí,Daniel Campos,Tahua
41,1,Potosí,Nor Chichas,Cotagaita
42,1,Santa Cruz,Chiquitos,San José de Chiquitos
42,1,Santa Cruz,Chiquitos,Pailón
42,1,Santa Cruz,Cordillera,Charagua
43,1,Potosí,Charcas,
43,1,Potosí,Bernardino Bilbao Rioja,
48,1,Chuquisaca,Oropeza,Sucre
48,1,Chuquisaca,Oropeza,Sucre
48,1,Chuquisaca,Oropeza,Sucre
50,1,Cochabamba,Chapare,Colomi
50,1,Cochabamba,Chapare,Colomi
51,1,Beni,Cercado,Trinidad
52,1,Beni,Cercado,Trinidad
52,1,Beni,Marbán,Loreto
52,1,Beni,Marbán,San Andrés
54,1,Beni,Mamoré,San Joaquin
54,1,Beni,Mamoré,San Ramon
54,1,Beni,Itenez,Magdalena
55,1,Oruro,Abaroa,Challapata
57,1,Oruro,Litoral,Huachacalla
57,1,Oruro,Litoral,Esmeralda
58,1,Oruro,Carangas,Corque
58,1,Oruro,Saucarí,Toledo
58,1,Oruro,Carangas,Corque
58,1,Oruro,Saucarí,Toledo
59,1,Beni,José Ballivián,San Borja
59,1,Beni,José Ballivián,Rurrenabaque
59,1,Beni,José Ballivián,San Borja
59,1,Beni,José Ballivián,Rurrenabaque
60,1,La Paz,Abel Iturralde,San Buenaventura
61,1,Beni,Cercado,
61,1,Beni,Yacuma,
61,1,Beni,Mamoré,
61,1,Beni,Itenez,
63,1,Beni,José Ballivián,San Borja
63,1,Beni,José Ballivián,San Borja
63,1,Beni,José Ballivián,San Borja
63,1,Beni,José Ballivián,San Borja
63,1,Beni,José Ballivián,San Borja
63,1,Beni,José Ballivián,San Borja
64,1,Beni,José Ballivián,San Borja
64,1,Beni,Yacuma,Santa Ana de Yacuma
64,1,Beni,Moxos,San Ignacio
64,1,Beni,José Ballivián,San Borja
64,1,Beni,Yacuma,Santa Ana de Yacuma
64,1,Beni,Moxos,San Ignacio
64,1,Beni,José Ballivián,San Borja
64,1,Beni,Yacuma,Santa Ana de Yacuma
64,1,Beni,Moxos,San Ignacio
65,1,Beni,Moxos,San Ignacio
65,1,Beni,Moxos,San Ignacio
65,1,Beni,Moxos,San Ignacio
67,1,Santa Cruz,Obispo Santistevan,Montero
67,1,Santa Cruz,Obispo Santistevan,Montero
67,1,Santa Cruz,Obispo Santistevan,Montero
67,1,Santa Cruz,Obispo Santistevan,Montero
68,1,Santa Cruz,Andrés Ibáñez,
69,1,Santa Cruz,Obispo Santistevan,Montero
70,1,Potosí,Antonio Quijarro,Tomave
70,1,Potosí,Antonio Quijarro,Tomave
71,1,La Paz,Larecaja,Guanay
72,2,La Paz,Pacajes,Coro Coro
72,2,La Paz,Pacajes,Calacoto
72,2,La Paz,Pacajes,Charaña
72,2,La Paz,Pacajes,Callapa
72,2,La Paz,Aroma,Sica Sica
72,2,La Paz,Aroma,Patacamaya
72,2,Cochabamba,Cercado,Cochabamba
72,2,Cochabamba,Campero,Omereque
72,2,Cochabamba,Esteban Arze,Arbieto
72,2,Cochabamba,Arani,Arani
72,2,Cochabamba,Arani,Vacas
72,2,Cochabamba,Arque,Arque
72,2,Cochabamba,Capinota,Santivañez
72,2,Cochabamba,Germán Jordán,Cliza
72,2,Cochabamba,Germán Jordán,Toco
72,2,Cochabamba,Quillacollo,Sipe Sipe
72,2,Cochabamba,Tapacarí,Tapacarí
72,2,Cochabamba,Carrasco,Totora
72,2,Cochabamba,Carrasco,Pojo
72,2,Cochabamba,Carrasco,Pocona
72,2,Cochabamba,Punata,Punata
72,2,Cochabamba,Punata,Villa Rivero
72,2,Oruro,Cercado,Caracollo
72,2,Oruro,Cercado,Soracachi (Paria)
72,2,Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra
72,2,Santa Cruz,Andrés Ibáñez,La Guardia
72,2,Santa Cruz,Andrés Ibáñez,El Torno
72,2,Santa Cruz,Cordillera,Cabezas
72,2,Santa Cruz,Florida,Samaipata
72,2,Santa Cruz,Florida,Pampa Grande
72,2,Santa Cruz,Florida,Mairana
72,2,Santa Cruz,Manuel María Caballero,Comarapa
72,2,Santa Cruz,Manuel María Caballero,Saipina
72,2,La Paz,Pacajes,Coro Coro
72,2,La Paz,Pacajes,Calacoto
72,2,La Paz,Pacajes,Charaña
72,2,La Paz,Pacajes,Callapa
72,2,La Paz,Aroma,Sica Sica
